iter	PRAUC	Logloss
275	0.3217119303	0.106157746
276	0.3219665832	0.1061424961
277	0.3220573433	0.1061233579
278	0.3222309481	0.1061093282
279	0.3223603686	0.1060993524
280	0.322410765	0.1060964945
281	0.3224674823	0.1060910828
282	0.3226534666	0.106076108
283	0.3228610032	0.1060611484
284	0.3230494742	0.1060407822
285	0.3230830713	0.1060389278
286	0.3232285229	0.1060245841
287	0.3232654789	0.1060233031
288	0.3233217	0.1060173634
289	0.3237517058	0.1059881981
290	0.3239857067	0.1059577912
291	0.3240647118	0.1059512612
292	0.3241454039	0.1059422699
293	0.3244930436	0.105900917
294	0.3247391204	0.1058831896
295	0.3248069159	0.1058792932
296	0.3251969183	0.105849055
297	0.3255029986	0.1058280535
298	0.3256050515	0.1058158015
299	0.3256456247	0.105813375
300	0.3261375735	0.1057840642
301	0.3267462841	0.1057522396
302	0.3269332967	0.1057329207
303	0.3271983632	0.1057200571
304	0.327283637	0.1057047267
305	0.3276455797	0.1056868052
306	0.3278239963	0.1056686367
307	0.32837003	0.105636111
308	0.328435016	0.1056295943
309	0.3286191471	0.1056122
310	0.3289731176	0.1055946768
311	0.3293137394	0.1055765604
312	0.3294761653	0.105565448
313	0.3297799062	0.105548263
314	0.3300061862	0.1055321365
315	0.3303028797	0.1055109603
316	0.330505355	0.1054728512
317	0.3308174889	0.1054528
318	0.3310339391	0.1054376129
319	0.3312448793	0.1054249587
320	0.3315286058	0.1054024418
321	0.3315954759	0.1053991967
322	0.3319161985	0.1053818029
323	0.3321420366	0.1053635602
324	0.332325383	0.1053486646
325	0.3327854263	0.1053249509
326	0.3329665925	0.1053098652
327	0.3329820743	0.105308338
328	0.3330912341	0.1053002735
329	0.3333732968	0.1052778831
330	0.3338174875	0.1052485748
331	0.3339964766	0.1052350277
332	0.3341215948	0.1052255273
333	0.3342839407	0.1052074129
334	0.3345586699	0.1051832009
335	0.3348199398	0.1051677931
336	0.3349240837	0.105157124
337	0.335107043	0.1051415628
338	0.3353789949	0.1051253932
339	0.3355021528	0.1051155502
340	0.3359510976	0.1050919684
341	0.336094384	0.1050820132
342	0.336316562	0.1050679341
343	0.3364697672	0.1050543554
344	0.3366574488	0.105044438
345	0.3367673366	0.1050344624
346	0.3371174144	0.1050105816
347	0.3373296698	0.104996271
348	0.3378100449	0.1049726693
349	0.3382976213	0.104940137
350	0.3386868398	0.1049153721
351	0.3390390473	0.1048945727
352	0.3391161281	0.1048871059
353	0.3393077829	0.1048783066
354	0.3394796289	0.1048675115
355	0.3395571131	0.1048625546
356	0.3396938152	0.1048412692
357	0.3398129017	0.1048242072
358	0.3398482169	0.104820538
359	0.339988715	0.1048066232
360	0.3400193425	0.1048048681
361	0.3401488404	0.1047979252
362	0.3403103473	0.1047870164
363	0.3406141045	0.1047662333
364	0.340881892	0.1047435524
365	0.3409585066	0.1047324812
366	0.3412521073	0.1047104043
367	0.341333526	0.1047026827
368	0.3415506191	0.1046769703
369	0.3418218995	0.1046410768
370	0.3420436224	0.1046228749
371	0.3421945438	0.104611986
372	0.3423247006	0.1046008504
373	0.342431728	0.1045953044
374	0.3428185934	0.1045751448
375	0.3429724439	0.1045603523
376	0.3430886036	0.1045511385
377	0.3433438786	0.104530176
378	0.3434391642	0.1045227941
379	0.3438593623	0.1045002752
380	0.344094282	0.1044816505
381	0.3444501972	0.1044496983
382	0.3446995126	0.104432127
383	0.344797364	0.1044264706
384	0.3450159472	0.1044152618
385	0.3450756393	0.1044111893
386	0.3452480088	0.1044005732
387	0.3454377373	0.1043904235
388	0.3455782905	0.1043762463
389	0.3456944672	0.1043692172
390	0.345828811	0.1043528381
391	0.3459157252	0.1043479071
392	0.3460003178	0.1043404482
393	0.346247339	0.1043211189
394	0.3465461024	0.1042964156
395	0.3466186231	0.1042922332
396	0.3467679676	0.104280712
397	0.346935194	0.1042646102
398	0.3473280359	0.1042413818
399	0.3475823831	0.1042007076
400	0.3478917451	0.104167038
401	0.3479656102	0.1041577342
402	0.3481081501	0.1041444809
403	0.3482263738	0.1041376436
404	0.3484501655	0.1041215338
405	0.3485272531	0.1041158033
406	0.3486265734	0.1041102476
407	0.348760154	0.10409956
408	0.3489099033	0.104075374
409	0.3490789582	0.1040552522
410	0.3494169417	0.1040365799
411	0.3497447026	0.1040118822
412	0.3498398972	0.1040056621
413	0.3501740776	0.103979792
414	0.3504345986	0.1039626065
415	0.3505252398	0.1039473273
416	0.3506857385	0.103937882
417	0.3506945007	0.1039337336
418	0.3507538722	0.1039319914
419	0.3507766423	0.1039250731
420	0.3508390933	0.1039201363
421	0.3510931799	0.1039030833
422	0.3511271978	0.1039011455
423	0.3512104669	0.1038958084
424	0.3512668566	0.1038882504
425	0.3515645059	0.1038678887
426	0.3517699208	0.1038511552
427	0.3518094942	0.1038495844
428	0.3520604603	0.1038285011
429	0.3522158032	0.1038133736
430	0.3523464593	0.1038028394
431	0.3524143532	0.1037943719
432	0.3524362451	0.1037889671
433	0.3526877517	0.1037532058
434	0.3527906915	0.103746913
435	0.3532196051	0.1037260397
436	0.3532344698	0.1037229733
437	0.3532350492	0.1037199941
438	0.3532722503	0.1037167698
439	0.3534142496	0.1037007473
440	0.3536046287	0.1036895809
441	0.3539319505	0.1036610278
442	0.354127465	0.1036503011
443	0.3541342071	0.1036466885
444	0.354364442	0.1036226372
445	0.3544873624	0.1036113102
446	0.3546649883	0.1035998337
447	0.3547778643	0.1035917829
448	0.354965175	0.1035608087
449	0.3550460749	0.1035553757
450	0.3550961622	0.1035521693
451	0.355318902	0.1035403107
452	0.355533463	0.1035254482
453	0.3555506294	0.103520222
454	0.3558284154	0.103505904
455	0.3558560615	0.1035043448
456	0.3559975204	0.1034900167
457	0.3561549587	0.1034812721
458	0.3564517824	0.10346657
459	0.3565307109	0.1034561791
460	0.3565643112	0.1034527071
461	0.3565735827	0.103448003
462	0.356681895	0.1034411054
463	0.3568360219	0.1034283728
464	0.3569654769	0.1034196239
465	0.3572952678	0.1034005027
466	0.3573716259	0.1033943419
467	0.3574642742	0.1033828024
468	0.3575372463	0.1033782774
469	0.35770263	0.1033546748
470	0.3579003935	0.1033393046
471	0.3581333839	0.1033192566
472	0.3581728537	0.1033156488
473	0.3583270141	0.1032945037
474	0.3584101456	0.1032901672
475	0.3584269426	0.1032876794
476	0.3584547852	0.1032856477
477	0.3586561717	0.1032702904
478	0.3588340777	0.1032539164
479	0.3590644032	0.1032326915
480	0.359178542	0.1032226279
481	0.359356746	0.1032016231
482	0.359579862	0.1031841588
483	0.3599560676	0.1031637994
