iter	Passed	Remaining
171	61925	478126
172	62076	476157
173	62458	475976
174	62811	475570
175	63146	475031
176	63474	474448
177	63854	474241
178	64181	473650
179	64553	473390
180	64979	473526
181	65405	473650
182	65857	473961
183	66331	474417
184	66711	474189
185	67255	475124
186	67585	474543
187	68065	475011
188	68559	475565
189	68980	475605
190	69233	474487
191	69428	472982
192	69809	472752
193	70170	472388
194	70596	472454
195	70998	472355
196	71407	472307
197	71897	472777
198	72349	472998
199	72739	472806
200	73207	473113
201	73686	473492
202	74265	474496
203	74576	473779
204	75179	474911
205	75587	474807
206	76030	474912
207	76398	474552
208	76749	474084
209	77117	473722
210	77528	473621
211	77897	473265
212	78300	473111
213	78684	472844
214	79056	472501
215	79399	471984
216	79775	471669
217	80134	471252
218	80488	470800
219	80834	470307
220	81178	469804
221	81520	469292
222	81924	469137
223	82351	469106
224	82772	469042
225	83214	469092
226	83585	468740
227	83943	468315
228	84326	468032
229	84789	468185
230	85249	468316
231	85637	468053
232	85995	467624
233	86353	467195
234	86704	466730
235	87065	466318
236	87417	465859
237	87742	465254
238	88104	464850
239	88443	464326
240	88768	463732
241	89076	463048
242	89400	462454
243	89724	461861
244	90045	461254
245	90397	460808
246	90729	460261
247	91055	459681
248	91387	459140
249	91719	458596
250	92066	458131
251	92488	458039
252	92869	457741
253	93187	457132
254	93542	456705
255	93862	456113
256	94189	455554
257	94548	455150
258	94845	454452
259	95189	453979
260	95548	453580
261	95891	453106
262	96205	452497
263	96553	452046
264	96872	451464
265	97177	450815
266	97487	450193
267	97780	449499
268	98114	448992
269	98423	448375
270	98727	447733
271	99015	447024
272	99316	446376
273	99585	445590
274	99885	444944
275	100190	444323
276	100578	444071
277	100882	443448
278	101161	442716
279	101442	441998
280	101708	441219
281	101925	440231
282	102236	439654
283	102557	439119
284	102849	438465
285	103145	437826
286	103400	437021
287	103665	436259
288	103968	435659
289	104275	435081
290	104568	434445
291	104864	433822
292	105175	433266
293	105466	432629
294	105758	431996
295	106045	431347
296	106354	430788
297	106646	430165
298	106943	429564
299	107221	428885
300	107514	428270
301	107813	427683
302	108169	427323
303	108437	426615
304	108810	426321
305	109142	425870
306	109456	425347
307	109812	424989
308	110156	424583
309	110503	424192
310	110808	423636
311	111092	423006
312	111441	422624
313	111729	422008
314	112008	421365
315	112326	420868
316	112639	420354
317	112926	419745
318	113246	419262
319	113533	418656
320	113845	418142
321	114127	417524
322	114443	417026
323	114718	416384
324	115031	415884
325	115338	415359
326	115629	414781
327	115936	414260
328	116288	413901
329	116578	413324
330	116948	413028
331	117219	412386
332	117505	411799
333	117820	411313
334	118130	410812
335	118457	410369
336	118773	409892
337	119062	409322
338	119373	408826
339	119676	408306
340	119976	407778
341	120289	407296
342	120604	406820
343	120909	406312
344	121176	405678
345	121446	405057
346	121729	404479
347	122017	403919
348	122331	403449
349	122632	402935
350	122955	402496
351	123242	401937
352	123548	401445
353	123852	400947
354	124152	400436
355	124500	400078
356	124768	399469
357	125136	399179
358	125507	398898
359	125881	398623
360	126240	398305
361	126551	397832
362	126854	397337
363	127164	396865
364	127460	396350
365	127753	395825
366	128051	395318
367	128359	394846
368	128679	394406
369	128957	393842
370	129272	393393
371	129592	392957
372	129913	392527
373	130251	392147
374	130607	391822
375	130959	391486
376	131326	391192
377	131651	390775
378	131981	390373
379	132306	389955
380	132648	389589
381	132972	389170
382	133322	388829
383	133663	388460
384	133981	388022
385	134307	387611
386	134648	387244
387	134967	386815
388	135259	386307
389	135568	385848
390	135883	385407
391	136208	384997
392	136557	384653
393	136837	384118
394	137137	383638
395	137442	383171
396	137742	382695
397	138057	382258
398	138392	381881
399	138727	381499
400	139049	381085
401	139343	380596
402	139633	380094
403	139914	379569
404	140190	379032
405	140510	378617
406	140825	378187
407	141112	377682
408	141641	377825
409	142104	377790
410	142495	377561
411	142868	377284
412	143215	376936
413	143526	376496
414	143838	376060
415	144180	375701
416	144543	375396
417	144912	375109
418	145238	374708
419	145568	374319
420	145900	373936
421	146233	373553
422	146611	373287
423	147013	373081
424	147360	372735
425	147689	372344
426	148008	371928
427	148336	371533
428	148662	371136
429	148978	370714
430	149286	370271
431	149645	369955
432	149994	369617
433	150304	369181
434	150635	368796
435	150982	368452
436	151295	368026
437	151561	367485
438	151857	367017
439	152208	366684
440	152576	366392
441	152912	366020
442	153222	365590
443	153477	365027
444	153769	364554
445	154066	364095
446	154371	363652
447	154696	363261
448	154986	362785
449	155286	362335
450	155584	361880
451	155908	361486
452	156231	361091
453	156531	360642
454	156862	360267
455	157163	359822
456	157470	359391
457	157834	359090
458	158126	358625
459	158432	358194
460	158804	357913
461	159126	357517
462	159415	357050
463	159710	356594
464	160021	356176
465	160314	355720
466	160626	355304
467	160931	354874
468	161225	354420
469	161520	353971
470	161822	353535
471	162119	353090
472	162442	352702
473	162760	352304
474	163068	351884
475	163397	351510
476	163687	351052
477	163978	350597
478	164294	350197
479	164595	349765
480	164899	349339
481	165229	348970
482	165555	348591
483	165898	348249
